0,62,29,63,68,54,10,75,96,77,96,29,68,97,99,23,65,95,10,55,30,93,40,68,47,63,86,39,20,81,86,36,38,60,36,53,19,87,97,39,45,74,53
62,0,48,86,35,27,42,84,28,35,51,44,29,55,89,70,38,13,82,92,88,90,73,72,19,85,40,63,44,31,13,60,78,91,22,86,84,19,68,50,31,25,74
29,48,0,37,66,28,88,41,99,57,24,90,62,47,86,71,55,32,55,55,99,76,34,94,42,31,20,72,31,48,14,93,90,97,33,47,75,54,94,11,68,50,95
63,86,37,0,33,95,73,33,57,69,24,50,29,43,76,20,82,75,20,69,94,91,44,87,25,67,90,42,14,85,55,68,93,26,57,16,56,94,94,98,13,14,58
68,35,66,33,0,41,50,27,95,44,82,55,92,44,12,38,41,77,78,13,27,94,29,98,45,94,60,44,13,23,89,90,87,95,47,77,79,79,68,56,67,91,90
54,27,28,95,41,0,13,88,22,36,33,53,70,93,78,50,38,51,77,68,93,72,25,28,80,68,59,10,67,81,22,12,31,75,53,20,77,30,26,96,32,22,80
10,42,88,73,50,13,0,10,11,30,83,62,73,63,53,85,71,97,84,89,71,76,94,96,48,67,92,13,13,20,83,57,75,30,92,79,85,46,27,81,69,59,40
75,84,41,33,27,88,10,0,42,91,21,88,99,76,31,71,14,46,91,11,68,59,48,60,71,28,74,26,21,32,17,85,84,44,78,28,48,72,98,59,32,81,59
96,28,99,57,95,22,11,42,0,44,59,63,89,53,47,95,26,62,29,16,94,35,59,29,52,26,95,68,69,77,78,94,41,21,44,59,64,31,43,26,41,60,28
77,35,57,69,44,36,30,91,44,0,49,45,17,59,26,47,89,10,66,29,48,51,46,60,24,89,57,67,55,41,99,77,84,25,60,68,67,97,66,13,35,68,58
96,51,24,24,82,33,83,21,59,49,0,83,93,40,62,73,65,96,90,16,31,43,40,78,73,89,17,19,30,43,20,90,44,50,50,29,53,18,73,84,98,23,42
29,44,90,50,55,53,62,88,63,45,83,0,51,87,45,98,83,62,90,41,13,88,18,58,55,63,56,19,56,73,34,98,96,86,39,93,76,56,89,51,76,98,32
68,29,62,29,92,70,73,99,89,17,93,51,0,75,39,42,83,14,61,91,42,11,44,87,24,79,42,59,79,76,86,88,17,27,42,17,85,23,62,17,43,41,57
97,55,47,43,44,93,63,76,53,59,40,87,75,0,24,37,37,27,97,80,88,37,19,67,36,83,44,23,88,59,26,14,77,40,86,10,78,30,96,72,91,61,62
